ExperimentID,Cohort,SubjectName,SubjectNumber,SessionNumber,SessionType,ExperimentType,Comment,DateTime,LogFileName,Parameters
10,HD,bonnie,8,54.0,test,Training - fixed,None,2023-10-06 20:06:03.009376,Experiment_2023-10-06T20:06:03.009376_bonnie_54_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5, ""TRIAL_SOUND_DURATION"": 1}"
11,HD,atom,1,3.0,test,Training - fixed,Positive = LEFT,2023-10-07 10:47:41.820683,Experiment_2023-10-07T10:47:41.820683_atom_3_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5, ""TRIAL_SOUND_DURATION"": 1}"
12,HD,ash,2,3.0,test,Training - fixed,Positive = RIGHT,2023-10-07 11:27:44.914673,Experiment_2023-10-07T11:27:44.914673_ash_3_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5, ""TRIAL_SOUND_DURATION"": 1}"
13,HD,mowgli,3,2.0,test,Training - fixed,Positive = LEFT,2023-10-07 12:16:35.124984,Experiment_2023-10-07T12:16:35.124984_mowgli_2_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5, ""TRIAL_SOUND_DURATION"": 1}"
14,HD,teddy,4,2.0,test,Training - fixed,Positived = RIGHT,2023-10-07 13:42:36.274776,Experiment_2023-10-07T13:42:36.274776_teddy_2_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5, ""TRIAL_SOUND_DURATION"": 1}"
15,HD,dodge,5,2.0,test,Training - fixed,Positive = LEFT,2023-10-07 14:30:16.073357,Experiment_2023-10-07T14:30:16.073357_dodge_2_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5, ""TRIAL_SOUND_DURATION"": 1}"
16,HD,filly,6,5.0,test,Training - fixed,Positive = RIGHT,2023-10-07 15:21:21.434899,Experiment_2023-10-07T15:21:21.434899_filly_5_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5, ""TRIAL_SOUND_DURATION"": 1}"
17,HD,dougie,7,2.0,test,Training - fixed,Positive = LEFT,2023-10-07 16:13:17.750963,Experiment_2023-10-07T16:13:17.750963_dougie_2_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5, ""TRIAL_SOUND_DURATION"": 1}"
18,HD,bonnie,8,55.0,test,Training - fixed,Positive = RIGHT,2023-10-07 16:55:59.174334,Experiment_2023-10-07T16:55:59.174334_bonnie_55_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5, ""TRIAL_SOUND_DURATION"": 1}"
19,HD,apollo,9,2.0,test,Training - fixed,Positive = RIGHT,2023-10-07 17:33:26.622301,Experiment_2023-10-07T17:33:26.622301_apollo_2_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5, ""TRIAL_SOUND_DURATION"": 1}"
20,HD,molly,10,3.0,test,Training - fixed,Positive = RIGHT  ,2023-10-07 18:06:05.305535,Experiment_2023-10-07T18:06:05.305535_molly_3_Training - fixed.log,"{""CRITERION_TIMEOUT_TRAINING"": 20, ""FEED_DISPENSE"": 20, ""FIRST_TRIAL_DURATION"": 4, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""NEGATIVE_RESPONSE_TIMEOUT"": 60, ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""POSITIVE_RESPONSE_TIMEOUT"": 60, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TEST_TIMEOUT"": 30, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5, ""TRIAL_SOUND_DURATION"": 1}"
