ExperimentID,Cohort,SubjectName,SubjectNumber,SessionNumber,ExperimentType,Comment,DateTime,LogFileName,Parameters
10,HD,bonnie,8,33.0,RPE-A,windy,2023-10-04 10:37:54.349864,Experiment_2023-10-04T10:37:54.349864_bonnie_33_RPE-A.log,"{""CRITERION_LIMIT_RP_H"": 3, ""CRITERION_TIME_RP_H"": 20, ""FEED_DISPENSE"": 20, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""RESPONSE_TIMEOUT"": 45, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5}"
11,HD,bonnie,8,34.0,RPE-A,None,2023-10-04 10:52:05.825815,Experiment_2023-10-04T10:52:05.825815_bonnie_34_RPE-A.log,"{""CRITERION_LIMIT_RP_H"": 3, ""CRITERION_TIME_RP_H"": 20, ""FEED_DISPENSE"": 20, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""RESPONSE_TIMEOUT"": 45, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 3, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5}"
12,HD,bonnie,8,35.0,RPE-A,None,2023-10-04 11:03:55.497331,Experiment_2023-10-04T11:03:55.497331_bonnie_35_RPE-A.log,"{""CRITERION_LIMIT_RP_H"": 3, ""CRITERION_TIME_RP_H"": 20, ""FEED_DISPENSE"": 20, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""RESPONSE_TIMEOUT"": 45, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": ""-- UNDEFINED --"", ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5}"
13,HD,bonnie,8,41.0,RPE-H,None,2023-10-04 11:31:41.212332,Experiment_2023-10-04T11:31:41.212332_bonnie_41_RPE-H.log,"{""CRITERION_LIMIT_RP_H"": 3, ""CRITERION_TIME_RP_H"": 20, ""FEED_DISPENSE"": 20, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 30, ""RESPONSE_TIMEOUT"": 45, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": ""-- UNDEFINED --"", ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5}"
14,HD,ash,2,1.0,RPE-H,None,2023-10-04 11:35:02.366254,Experiment_2023-10-04T11:35:02.366254_ash_1_RPE-H.log,"{""CRITERION_LIMIT_RP_H"": 3, ""CRITERION_TIME_RP_H"": 20, ""FEED_DISPENSE"": 20, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""RESPONSE_TIMEOUT"": 45, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 20, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5}"
15,HD,ash,2,2.0,RPE-H,None,2023-10-04 11:36:30.074717,Experiment_2023-10-04T11:36:30.074717_ash_2_RPE-H.log,"{""CRITERION_LIMIT_RP_H"": 3, ""CRITERION_TIME_RP_H"": 20, ""FEED_DISPENSE"": 20, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 5, ""RESPONSE_TIMEOUT"": 45, ""SENSITIVITY"": 4, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 20, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5}"
16,HD,bonnie,8,42.0,RPE-ER,None,2023-10-04 21:40:04.309838,Experiment_2023-10-04T21:40:04.309838_bonnie_42_RPE-ER.log,"{""CRITERION_LIMIT_RP_H"": 3, ""CRITERION_TIME_RP_H"": 20, ""FEED_DISPENSE"": 20, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 30, ""RESPONSE_TIMEOUT"": 45, ""SENSITIVITY"": 4, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 20, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5}"
17,HD,bonnie,8,43.0,RPE-A,windy,2023-10-05 11:06:09.758656,Experiment_2023-10-05T11:06:09.758656_bonnie_43_RPE-A.log,"{""CRITERION_LIMIT_RP_H"": 3, ""CRITERION_TIME_RP_H"": 20, ""FEED_DISPENSE"": 20, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 30, ""RESPONSE_TIMEOUT"": 45, ""SENSITIVITY"": 4, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 20, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5}"
18,HD,bonnie,8,46.0,RPE-A,None,2023-10-10 14:38:28.391056,Experiment_2023-10-10T14:38:28.391056_bonnie_46_RPE-A.log,"{""CRITERION_LIMIT_RP_H"": 3, ""CRITERION_TIME_RP_H"": 20, ""FEED_DISPENSE"": 20, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 30, ""RESPONSE_TIMEOUT"": 45, ""SENSITIVITY"": 4, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 20, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5}"
19,HD,bonnie,8,48.0,RPE-A,None,2023-10-10 14:47:57.242701,Experiment_2023-10-10T14:47:57.242701_bonnie_48_RPE-A.log,"{""CRITERION_LIMIT_RP_H"": 3, ""CRITERION_TIME_RP_H"": 20, ""FEED_DISPENSE"": 20, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""test"", ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 30, ""RESPONSE_TIMEOUT"": 45, ""SENSITIVITY"": 4, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 20, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5}"
20,HD,bonnie,8,54.0,RPE-A,None,2023-10-10 15:06:15.158054,Experiment_2023-10-10T15:06:15.158054_bonnie_54_RPE-A.log,"{""CRITERION_LIMIT_RP_H"": 3, ""CRITERION_TIME_RP_H"": 20, ""FEED_DISPENSE"": 3, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""-- UNDEFINED --"", ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 1, ""RESPONSE_TIMEOUT"": 45, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 5, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5}"
21,HD,filly,6,1.0,RPE-A,None,2023-10-10 15:21:33.860543,Experiment_2023-10-10T15:21:33.860543_filly_1_RPE-A.log,"{""CRITERION_LIMIT_RP_H"": 3, ""CRITERION_TIME_RP_H"": 20, ""FEED_DISPENSE"": 5, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""-- UNDEFINED --"", ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 10, ""RESPONSE_TIMEOUT"": 45, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 5, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5}"
22,HD,bonnie,8,55.0,RPE-A,None,2023-10-11 11:04:35.977578,Experiment_2023-10-11T11:04:35.977578_bonnie_55_RPE-A.log,"{""CRITERION_LIMIT_RP_H"": 3, ""CRITERION_TIME_RP_H"": 20, ""FEED_DISPENSE"": 5, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""-- UNDEFINED --"", ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 10, ""RESPONSE_TIMEOUT"": 45, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 5, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5}"
23,HD,ash,2,3.0,RPE-A,None,2023-10-11 11:09:31.314832,Experiment_2023-10-11T11:09:31.314832_ash_3_RPE-A.log,"{""CRITERION_LIMIT_RP_H"": 8, ""CRITERION_TIME_RP_H"": 20, ""FEED_DISPENSE"": 5, ""INITIAL_DELAY"": 10, ""MAX_TIME_START_TO_TOUCH_EVENT"": 300, ""MAX_TRIAL_PER_SESSION"": 20, ""MODE"": ""-- UNDEFINED --"", ""N_SUBJECT"": 20, ""N_TOUCH"": 3, ""PAUSE_BETWEEN_TRIALS"": 10, ""RESPONSE_TIMEOUT"": 45, ""SENSITIVITY"": 5, ""SERVO_CHANNEL"": 1, ""SERVO_CLOSE"": 0, ""SERVO_DELAY"": 0.7, ""SERVO_DELAY_AFTER_FEED"": 5, ""SERVO_MODE"": ""pellets"", ""SERVO_OPEN"": 180, ""SESSION_STARTED_SOUND_DURATION"": 2, ""SESSION_TERMINATED_SOUND_DURATION"": 2, ""SYSTEM_READY_SOUND_DURATION"": 2, ""TOUCH_PAD_DELAY"": 0.1, ""TRIAL_LIMIT"": 20, ""TRIAL_SLEEP_TIME"": 5}"
